Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
0,2024-05-06_18:26:45__clean_paper,156,14,0.882,0.665524423122406,0.3200963763946218,4.695447990123929,"[0.5496697425842285, -0.2997228503227234, 0.21788114309310913]","[0.49164023995399475, -0.2734526991844177, 0.22630548477172852]",[-0.48661938  0.51423353  0.50883341 -0.48974892],"[0.5187181234359741, -0.49350473284721375, 0.5038794875144958, 0.4832080602645874]"
1,2024-05-06_18:26:45__clean_paper,75,7,0.696,0.6521142721176147,0.2965627643620849,4.479828979917463,"[0.5487390756607056, 0.32444578409194946, 0.21888336539268494]","[0.5535070300102234, 0.3075793981552124, 0.199994295835495]",[-0.49092332  0.5093503   0.50527167 -0.49422374],"[-0.6888917088508606, 0.006909835152328014, -0.016192961484193802, 0.7246504426002502]"
2,2024-05-06_18:26:45__clean_paper,89,7,0.727,0.6522490382194519,0.34719174900169675,4.509029162913558,"[0.539642333984375, 0.3279067277908325, 0.21886813640594482]","[0.5429425239562988, 0.3090328872203827, 0.1992742419242859]",[-0.48008734  0.51959926  0.51683998 -0.48208836],"[-0.6844837069511414, 0.00636353949084878, -0.02221941016614437, 0.7286616563796997]"
3,2024-05-06_18:26:45__clean_paper,198,14,0.986,0.6881300806999207,0.28686812081080176,5.1341204764599535,"[0.5492408871650696, -0.33222639560699463, 0.2179088294506073]","[0.4847172200679779, -0.3097139596939087, 0.24525955319404602]",[-0.48525789  0.51547587  0.51237392 -0.48608881],"[0.5206590294837952, -0.48648399114608765, 0.5157466530799866, 0.47566044330596924]"
4,2024-05-06_18:26:45__clean_paper,43,7,0.611,0.6389991044998169,0.33460211881040663,4.433278491695307,"[0.5378891229629517, 0.32283371686935425, 0.21910008788108826]","[0.5508736371994019, 0.30991533398628235, 0.1924525797367096]",[-0.49216375  0.50758427  0.50519919 -0.49488065],"[-0.6934352517127991, -0.0026387267280369997, -0.009075034409761429, 0.7204569578170776]"
5,2024-05-06_18:26:45__clean_paper,116,14,0.796,0.6741600632667542,0.3135632496835578,4.910206238738108,"[0.5470237731933594, -0.30734312534332275, 0.2179073691368103]","[0.4871486723423004, -0.2838290333747864, 0.24015961587429047]",[-0.48756096  0.5133726   0.5081768  -0.49039698],"[0.5177404880523682, -0.4896545708179474, 0.5126332640647888, 0.47894713282585144]"
6,2024-05-06_18:26:45__clean_paper,92,14,0.728,0.6811559200286865,0.33228731954427493,4.852532434280009,"[0.5455573201179504, -0.29768574237823486, 0.21812555193901062]","[0.4904814660549164, -0.28086259961128235, 0.24036596715450287]",[-0.49590102  0.5053736   0.50043148 -0.498245  ],"[0.5160260796546936, -0.4916968047618866, 0.5103087425231934, 0.4811822175979614]"
7,2024-05-06_18:26:45__clean_paper,238,14,1.066,0.7275697588920593,0.3655466817441595,5.036355205113559,"[0.5599706768989563, -0.3130958080291748, 0.21797770261764526]","[0.496682345867157, -0.2980773448944092, 0.22673854231834412]",[ 0.5198254  -0.48103264 -0.47501969  0.52225035],"[0.49483487010002136, -0.4692743718624115, 0.5392094254493713, 0.4941388666629791]"
8,2024-05-06_18:26:45__clean_paper,148,14,0.855,0.6902197599411011,0.33107777382120096,4.836550439747244,"[0.5495465397834778, -0.2942652106285095, 0.2181592881679535]","[0.49062368273735046, -0.2745617628097534, 0.2433893382549286]",[-0.49096832  0.51040149  0.50602937 -0.49231565],"[0.5186561346054077, -0.49054276943206787, 0.5086309313774109, 0.48130884766578674]"
9,2024-05-06_18:26:45__clean_paper,150,14,0.868,0.6517333388328552,0.3099030079013038,4.83455290614786,"[0.5312722325325012, -0.2973165512084961, 0.21800664067268372]","[0.5058310627937317, -0.2743579149246216, 0.19972258806228638]",[-0.49046996  0.51077157  0.50255358 -0.49597535],"[0.48434337973594666, -0.45424237847328186, 0.5534259080886841, 0.5027874112129211]"
10,2024-05-06_18:26:45__clean_paper,149,7,0.868,0.6866154074668884,0.34645122242288845,4.554718288857509,"[0.5448059439659119, 0.31391894817352295, 0.2192346155643463]","[0.5416849851608276, 0.2989809513092041, 0.20175692439079285]",[-0.49484894  0.50574714  0.50213009 -0.49720186],"[-0.6739012598991394, 0.016379304230213165, -0.029602661728858948, 0.738046407699585]"
11,2024-05-06_18:26:45__clean_paper,133,7,0.832,0.6987970471382141,0.32493141025210764,4.561250006202073,"[0.5346634984016418, 0.3196720480918884, 0.21902090311050415]","[0.5299021005630493, 0.30711448192596436, 0.2062080055475235]",[-0.4852933   0.51470894  0.5118438  -0.48742288],"[-0.685053825378418, 0.014210430905222893, -0.029243651777505875, 0.7277665734291077]"
12,2024-05-06_18:26:45__clean_paper,105,7,0.762,0.6741952896118164,0.33561700078373174,4.526164045098111,"[0.5413104891777039, 0.3182399868965149, 0.2192675769329071]","[0.5381137728691101, 0.3053046762943268, 0.2092011272907257]",[-0.49448904  0.50686687  0.5030849  -0.49545148],"[-0.687099039554596, 0.008709940128028393, -0.02193673513829708, 0.7261803150177002]"
13,2024-05-06_18:26:45__clean_paper,296,14,1.185,0.6840489506721497,0.3019843587339749,4.961670355266343,"[0.5461642146110535, -0.30881649255752563, 0.21788427233695984]","[0.4813684821128845, -0.2914918065071106, 0.24097473919391632]",[ 0.50707519 -0.49498335 -0.4908042   0.50692946],"[0.5248875021934509, -0.48846811056137085, 0.5091672539710999, 0.47606799006462097]"
14,2024-05-06_18:26:45__clean_paper,126,14,0.816,0.6975257992744446,0.33972458974130715,4.795546890252076,"[0.5382360219955444, -0.28980302810668945, 0.21842634677886963]","[0.4866929352283478, -0.2686459422111511, 0.23563653230667114]",[-0.48811361  0.51277483  0.50739479 -0.49128154],"[0.5115500092506409, -0.48993921279907227, 0.5131393074989319, 0.4847310781478882]"
